"Rank[dp 1]","Mountain name(s)","Height(rounded)[dp 2]","Prominence(rounded)[dp 3]","Range","Coordinates[dp 4]","Parent mountain[dp 5]","Ascents before2004[dp 6]","Country","Photo","","","",""
"40","Gangkhar Puensum","7,570","24,840","2,995","9,826","Kula Kangri Himalaya","28°02′50″N 90°27′19″E﻿ / ﻿28.04722°N 90.45528°E﻿ / 28.04722; 90.45528﻿ (40. Gangkhar Puensum (7570 m)) *","Kangchenjunga","","0","3","BhutanChina",""
"41","Gongga ShanMinya Konka","7,556","24,790","3,642","11,949","Daxue Mountains (Hengduan Shan)","29°35′43″N 101°52′47″E﻿ / ﻿29.59528°N 101.87972°E﻿ / 29.59528; 101.87972﻿ (41. Gongga Shan / Minya Konka (7556 m))","Mount Everest","1932","6","7","China",""
"42","Annapurna III","7,555","24,787","703","2,306","Annapurna Himalaya","28°35′06″N 83°59′24″E﻿ / ﻿28.58500°N 83.99000°E﻿ / 28.58500; 83.99000﻿ (42. Annapurna III (7555 m))","Annapurna I","1961","10","17","Nepal",""
"43","Skyang Kangri","7,545","24,754","1,085","3,560","Baltoro Karakoram","35°55′35″N 76°34′03″E﻿ / ﻿35.92639°N 76.56750°E﻿ / 35.92639; 76.56750﻿ (43. Skyang Kangri (7545 m))","K2","1976","1","2","Pakistan, China",""
"44","Changtse","7,543","24,747[dp 9]","514","1,686","Mahalangur Himalaya","28°01′29″N 86°54′51″E﻿ / ﻿28.02472°N 86.91417°E﻿ / 28.02472; 86.91417﻿ (44. Changtse (7543 m))","Mount Everest","1982","9","9","China",""
"45","Kula Kangri","7,538","24,731","1,654","5,427","Kula Kangri Himalaya","28°13′37″N 90°36′59″E﻿ / ﻿28.22694°N 90.61639°E﻿ / 28.22694; 90.61639﻿ (45. Kula Kangri (7538 m))","Gangkhar Puensum","1986","3","2","ChinaBhutan[dp 10]",""
"46","Kongur Tiube","7,530","24,700","840","2,760","Kongur Shan (Eastern Pamirs)","38°36′57″N 75°11′45″E﻿ / ﻿38.61583°N 75.19583°E﻿ / 38.61583; 75.19583﻿ (46. Kongur Tiube (7530 m))","Kongur Tagh","1956","2","3","China",""
"","Annapurna IV","7,525","24,688","255","837","Annapurna Himalaya","28°32′15″N 84°4′58″E﻿ / ﻿28.53750°N 84.08278°E﻿ / 28.53750; 84.08278﻿ (Annapurna IV (7,525 m))","Annapurna","1955","43","18","Nepal",""
"47","Mamostong Kangri","7,516","24,659","1,803","5,915","Rimo Karakoram","35°08′31″N 77°34′39″E﻿ / ﻿35.14194°N 77.57750°E﻿ / 35.14194; 77.57750﻿ (47. Mamostong Kangri (7516 m))","Gasherbrum I","1984","5","0","India",""
"48","Saser Kangri II E","7,513","24,649","1,458","4,783","Saser Karakoram","34°48′17″N 77°48′24″E﻿ / ﻿34.80472°N 77.80667°E﻿ / 34.80472; 77.80667﻿ (48. Saser Kangri II E (7513 m))","Saser Kangri I","2011","0","0[dp 11]","India",""
"49","Muztagh Ata","7,509","24,636","2,698","8,852","Muztagata (Eastern Pamirs)","38°16′33″N 75°06′58″E﻿ / ﻿38.27583°N 75.11611°E﻿ / 38.27583; 75.11611﻿ (49. Muztagh Ata (7546 m))","Kongur Tagh","1956","","—","China",""
"50","Ismoil Somoni Peak","7,495","24,590","3,402","11,161","Pamir (Academy of Sciences Range)","38°56′35″N 72°00′57″E﻿ / ﻿38.94306°N 72.01583°E﻿ / 38.94306; 72.01583﻿ (50. Ismoil Somoni Peak (7495 m))","Muztagh Ata","1933","","—","Tajikistan",""
"51","Saser Kangri III","7,495","24,590","835","2,740","Saser Karakoram","34°50′44″N 77°47′06″E﻿ / ﻿34.84556°N 77.78500°E﻿ / 34.84556; 77.78500﻿ (51. Saser Kangri III (7495 m))","Saser Kangri I","1986","1","0","India'[dp 12]",""
"52","Noshaq","7,492","24,580","2,024","6,640","Hindu Kush","36°25′56″N 71°49′43″E﻿ / ﻿36.43222°N 71.82861°E﻿ / 36.43222; 71.82861﻿ (52. Noshaq (7492 m))","Tirich Mir","1960","33","3","AfghanistanPakistan",""
"53","Pumari Chhish","7,492","24,580","884","2,900","Hispar Karakoram","36°12′41″N 75°15′01″E﻿ / ﻿36.21139°N 75.25028°E﻿ / 36.21139; 75.25028﻿ (53. Pumari Chhish (7492 m))","Khunyang Chhish","1979","1","2","Pakistan",""
"54","Passu Sar","7,476","24,528","647","2,123","Batura Karakoram","36°29′16″N 74°35′16″E﻿ / ﻿36.48778°N 74.58778°E﻿ / 36.48778; 74.58778﻿ (54. Passu Sar (7476 m))","Batura Sar","1994","1","0","Pakistan",""
"55","Yukshin Gardan Sar","7,469","24,505","1,374","4,508","Hispar Karakoram","36°15′04″N 75°22′29″E﻿ / ﻿36.25111°N 75.37472°E﻿ / 36.25111; 75.37472﻿ (55. Yukshin Gardan Sar (7469 m))","Pumari Chhish","1984","4","1","Pakistan",""
"56","Teram Kangri I","7,462","24,482","1,703","5,587","Siachen Karakoram","35°34′48″N 77°04′42″E﻿ / ﻿35.58000°N 77.07833°E﻿ / 35.58000; 77.07833﻿ (56. Teram Kangri I (7462 m))","Gasherbrum I","1975","2","0","ChinaIndia[dp 13][dp 14]'[dp 12]",""
"57","Jongsong Peak","7,462","24,482","1,298","4,259","Kangchenjunga Himalaya","27°52′54″N 88°08′09″E﻿ / ﻿27.88167°N 88.13583°E﻿ / 27.88167; 88.13583﻿ (57. Jongsong Peak (7462 m))","Kangchenjunga","1930","2","3","IndiaChinaNepal",""
"58","Malubiting","7,458","24,469","2,193","7,195","Rakaposhi-Haramosh Karakoram","36°00′12″N 74°52′31″E﻿ / ﻿36.00333°N 74.87528°E﻿ / 36.00333; 74.87528﻿ (58. Malubiting (7458 m))","Rakaposhi","1971","2","6","Pakistan",""
"59","Gangapurna","7,455","24,459","563","1,847","Annapurna Himalaya","28°36′18″N 83°57′49″E﻿ / ﻿28.60500°N 83.96361°E﻿ / 28.60500; 83.96361﻿ (59. Gangapurna (7455 m))","Annapurna III","1965","8","13","Nepal",""
"60","Jengish ChokusuTömürPik Pobedy","7,439","24,406","4,148","13,609","Tian Shan","42°02′05″N 80°07′47″E﻿ / ﻿42.03472°N 80.12972°E﻿ / 42.03472; 80.12972﻿ (60. Jengish Chokusu / Tömür / Pk Pobeda (7439 m))","Ismail Samani Peak","1956","","—","KyrgyzstanChina",""
"","Sunanda DeviNanda Devi East","7,434","24,390","229","751","Garhwal Himalaya","30°22′00″N 79°59′40″E﻿ / ﻿30.36667°N 79.99444°E﻿ / 30.36667; 79.99444﻿ (Sunanda Devi (7434 m))","Nanda Devi","1939","14","12","India",""
"61","K12","7,428","24,370","1,978","6,490","Saltoro Karakoram","35°17′45″N 77°01′20″E﻿ / ﻿35.29583°N 77.02222°E﻿ / 35.29583; 77.02222﻿ (61. K12 (7428 m))","Saltoro Kangri","1974","4","2","Pakistan, India",""
"62","YangraGanesh I","7,422","24,350","2,352","7,717","Ganesh Himalaya","28°23′29″N 85°07′38″E﻿ / ﻿28.39139°N 85.12722°E﻿ / 28.39139; 85.12722﻿ (62. Yangra / Ganesh I (7422 m))","Shishapangma","1955","1","6","ChinaNepal",""
"63","Sia Kangri","7,422","24,350","642","2,106","Siachen Karakoram","35°39′48″N 76°45′42″E﻿ / ﻿35.66333°N 76.76167°E﻿ / 35.66333; 76.76167﻿ (63. Sia Kangri (7422 m))","Gasherbrum I","1934","6","0","PakistanChina",""
"64","Momhil Sar","7,414","24,324","907","2,976","Hispar Karakoram","36°19′04″N 75°02′11″E﻿ / ﻿36.31778°N 75.03639°E﻿ / 36.31778; 75.03639﻿ (64. Momhil Sar (7414 m)) *","Trivor","1964","2","6","Pakistan",""
"65","Kabru N","7,412","24,318","720","2,360","Kangchenjunga Himalaya","27°38′02″N 88°07′00″E﻿ / ﻿27.63389°N 88.11667°E﻿ / 27.63389; 88.11667﻿ (65. Kabru N (7412 m))","Kangchenjunga","1994","1","2[17]","IndiaNepal",""
"66","Skil Brum","7,410","24,310","1,152","3,780","Baltoro Karakoram","35°51′03″N 76°25′43″E﻿ / ﻿35.85083°N 76.42861°E﻿ / 35.85083; 76.42861﻿ (66. Skil Brum (7410 m))","K2","1957","2","1","Pakistan",""
"67","Haramosh Peak","7,409","24,308","2,277","7,470","Rakaposhi-Haramosh Karakoram","35°50′24″N 74°53′51″E﻿ / ﻿35.84000°N 74.89750°E﻿ / 35.84000; 74.89750﻿ (67. Haramosh Peak (7409 m))","Malubiting","1958","4","3","Pakistan",""
"68","Istor-o-Nal","7,403","24,288","1,043","3,422","Hindu Kush","36°22′32″N 71°53′54″E﻿ / ﻿36.37556°N 71.89833°E﻿ / 36.37556; 71.89833﻿ (68. Istor-o-Nal (7403 m))","Noshaq","1969","4","5","Pakistan",""
"69","Ghent Kangri","7,401","24,281","1,493","4,898","Saltoro Karakoram","35°31′04″N 76°48′02″E﻿ / ﻿35.51778°N 76.80056°E﻿ / 35.51778; 76.80056﻿ (69. Ghent Kangri (7401 m))","Saltoro Kangri","1961","4","0","Pakistan, India",""
"70","Ultar","7,388","24,239","688","2,257","Batura Karakoram","36°23′27″N 74°43′00″E﻿ / ﻿36.39083°N 74.71667°E﻿ / 36.39083; 74.71667﻿ (70. Ultar (7388 m))","Shispare","1996","2","5","Pakistan",""
"71","Rimo I","7,385","24,229","1,428","4,685","Rimo Karakoram","35°21′18″N 77°22′08″E﻿ / ﻿35.35500°N 77.36889°E﻿ / 35.35500; 77.36889﻿ (71. Rimo I (7385 m))","Teram Kangri I","1988","1","3","India",""
"72","Churen Himal","7,385","24,229","650","2,130","Dhaulagiri Himalaya","28°44′05″N 83°13′03″E﻿ / ﻿28.73472°N 83.21750°E﻿ / 28.73472; 83.21750﻿ (72. Churen Himal (7385 m))","Dhaulagiri IV","1970","3","0","Nepal",""
"73","Teram Kangri III","7,382","24,219","520","1,710","Siachen Karakoram","35°35′59″N 77°02′53″E﻿ / ﻿35.59972°N 77.04806°E﻿ / 35.59972; 77.04806﻿ (73. Teram Kangri III (7382 m))","Teram Kangri I","1979","1","0","IndiaChina[dp 13][dp 14]'[dp 12]",""
"74","Sherpi Kangri","7,380","24,210","1,320","4,330","Saltoro Karakoram","35°27′58″N 76°46′53″E﻿ / ﻿35.46611°N 76.78139°E﻿ / 35.46611; 76.78139﻿ (74. Sherpi Kangri  (7380 m)) *","Ghent Kangri","1976","1","1","Pakistan",""
"75","Labuche Kang","7,367","24,170","1,957","6,421","Labuche Himalaya","28°18′15″N 86°21′03″E﻿ / ﻿28.30417°N 86.35083°E﻿ / 28.30417; 86.35083﻿ (75. Labuche Kang (7367 m))","Cho Oyu","1987","1","0","China",""
"76","Kirat Chuli","7,362","24,154","1,168","3,832","Kangchenjunga Himalaya","27°47′16″N 88°11′43″E﻿ / ﻿27.78778°N 88.19528°E﻿ / 27.78778; 88.19528﻿ (76. Kirat Chuli (7362 m))","Kangchenjunga","1939","1","6","NepalIndia",""
"","Abi Gamin","7,355","24,131","217","712","Garhwal Himalaya","30°55′57″N 79°36′09″E﻿ / ﻿30.93250°N 79.60250°E﻿ / 30.93250; 79.60250﻿ (Abi Gamin (7355 m))","Kamet","1950","17","2","IndiaChina",""
"","Gimmigela ChuliThe Twins","7,350","24,110","432","1,417","Kangchenjunga Himalaya","27°44′27″N 88°09′31″E﻿ / ﻿27.74083°N 88.15861°E﻿ / 27.74083; 88.15861﻿ (Gimmigela / The Twins (7350 m))","Kangchenjunga","1994","3","1","IndiaNepal",""
"","Nangpai Gosum","7,350","24,110","427","1,401","Mahalangur Himalaya","28°04′24″N 86°36′51″E﻿ / ﻿28.07333°N 86.61417°E﻿ / 28.07333; 86.61417﻿ (Nangpai Gosum (7350 m))","Cho Oyu","1986","","1[18]","NepalChina",""
"77","Saraghrar","7,349","24,111","1,979","6,493","Hindu Kush","36°32′51″N 72°06′54″E﻿ / ﻿36.54750°N 72.11500°E﻿ / 36.54750; 72.11500﻿ (77. Saraghrar (7349 m))","Noshaq","1959","2","3","Pakistan",""
"","Talung","7,349","24,111","366","1,201","Kangchenjunga Himalaya","27°39′18″N 88°07′51″E﻿ / ﻿27.65500°N 88.13083°E﻿ / 27.65500; 88.13083﻿ (Talung (7349 m)) *","Kabru","1964","3","4[19]","NepalIndia",""
"78","JomolhariChomo Lhari","7,326","24,035","2,341","7,680","Jomolhari Himalaya","27°49′36″N 89°16′04″E﻿ / ﻿27.82667°N 89.26778°E﻿ / 27.82667; 89.26778﻿ (78. Jomolhari (7326 m)) *","Gangkhar Puensum","1937","4","0","BhutanChina",""
"79","Chamlang","7,321","24,019","1,241","4,072","Mahalangur Himalaya","27°46′30″N 86°58′47″E﻿ / ﻿27.77500°N 86.97972°E﻿ / 27.77500; 86.97972﻿ (79. Chamlang (7321 m))","Lhotse","1961","7","1","Nepal",""
"80","Chongtar","7,315","23,999","1,295","4,249","Baltoro Karakoram","35°54′55″N 76°25′45″E﻿ / ﻿35.91528°N 76.42917°E﻿ / 35.91528; 76.42917﻿ (80. Chongtar (7315 m))","Skil Brum","1994","1","1","China[dp 13]",""
"81","Baltoro Kangri","7,312","23,990","1,140","3,740","Masherbrum Karakoram","35°38′21″N 76°40′24″E﻿ / ﻿35.63917°N 76.67333°E﻿ / 35.63917; 76.67333﻿ (81. Baltoro Kangri (7312 m))","Chogolisa","1963","1","0","Pakistan",""
"82","Siguang Ri","7,309","23,980","669","2,195","Mahalangur Himalaya","28°08′50″N 86°41′06″E﻿ / ﻿28.14722°N 86.68500°E﻿ / 28.14722; 86.68500﻿ (82. Siguang Ri (7309 m))","Cho Oyu","1989","2","1","China",""
"83","The CrownHuang Guan Shan","7,295","23,934","1,919","6,296","Yengisogat Karakoram","36°06′24″N 76°12′21″E﻿ / ﻿36.10667°N 76.20583°E﻿ / 36.10667; 76.20583﻿ (83. The Crown / Huang Guan (7295 m))","Skil Brum (K2)","1993","1","5","China[dp 13]",""
"84","Gyala Peri","7,294","23,930","2,942","9,652","Assam Himalaya","29°48′52″N 94°58′07″E﻿ / ﻿29.81444°N 94.96861°E﻿ / 29.81444; 94.96861﻿ (84. Gyala Peri (7294 m))","Mount Everest","1986","1","0","China",""
"85","Porong Ri","7,292","23,924","512","1,680","Langtang Himalaya","28°23′22″N 85°43′12″E﻿ / ﻿28.38944°N 85.72000°E﻿ / 28.38944; 85.72000﻿ (85. Porong Ri (7292 m))","Shishapangma","1982","5","0","China",""
"86","Baintha BrakkThe Ogre","7,285","23,901","1,891","6,204","Panmah Karakoram","35°56′51″N 75°45′12″E﻿ / ﻿35.94750°N 75.75333°E﻿ / 35.94750; 75.75333﻿ (86. Baintha Brakk / The Ogre (7285 m)) *","Kanjut Sar","1977","3","13","Pakistan",""
"87","Yutmaru Sar","7,283","23,894","680","2,230","Hispar Karakoram","36°13′35″N 75°22′02″E﻿ / ﻿36.22639°N 75.36722°E﻿ / 36.22639; 75.36722﻿ (87. Yutmaru Sar (7283 m))","Yukshin Gardan Sar","1980","1","1","Pakistan",""
"88","K6Baltistan Peak","7,282","23,891","1,962","6,437","Masherbrum Karakoram","35°25′06″N 76°33′06″E﻿ / ﻿35.41833°N 76.55167°E﻿ / 35.41833; 76.55167﻿ (88. Baltistan Peak / K6 (7282 m))","Chogolisa","1970","1","3","Pakistan",""
"89","KangpenqingGang Benchhen","7,281","23,888","1,345","4,413","Baiku Himalaya","28°33′03″N 85°32′44″E﻿ / ﻿28.55083°N 85.54556°E﻿ / 28.55083; 85.54556﻿ (89. Kangpenqing / Gang Benchhen (7281 m))","Shishapangma","1982","1","1","China",""
